iter	Passed	Remaining
0	2	630
1	4	677
2	6	634
3	8	610
4	11	661
5	13	651
6	15	635
7	17	638
8	19	629
9	21	620
10	23	627
11	25	619
12	27	612
13	30	615
14	32	612
15	34	604
16	36	610
17	38	607
18	40	601
19	43	605
20	45	602
21	47	596
22	49	599
23	51	597
24	53	592
25	56	592
26	58	590
27	60	586
28	62	586
29	64	583
30	66	578
31	68	576
32	70	572
33	72	569
34	74	566
35	77	568
36	79	565
37	81	561
38	83	560
39	85	554
40	86	548
41	88	541
42	90	541
43	92	537
44	93	531
45	96	530
46	98	529
47	100	525
48	102	523
49	104	522
50	106	520
51	108	517
52	110	516
53	113	514
54	114	510
55	117	511
56	119	509
57	121	506
58	123	506
59	126	504
60	127	501
61	130	500
62	132	498
63	134	495
64	137	496
65	139	495
66	141	492
67	144	491
68	146	489
69	148	486
70	150	485
71	152	483
72	154	480
73	156	479
74	158	476
75	160	474
76	163	472
77	165	469
78	167	467
79	169	465
80	171	464
81	173	462
82	176	461
83	178	459
84	180	456
85	182	454
86	185	453
87	187	450
88	189	448
89	191	446
90	193	444
91	195	442
92	198	441
93	200	439
94	202	437
95	204	435
96	206	432
97	208	430
98	211	428
99	213	426
100	214	423
101	217	422
102	219	419
103	221	417
104	223	415
105	225	413
106	227	410
107	229	408
108	232	406
109	233	404
110	235	401
111	238	399
112	240	397
113	242	394
114	244	393
115	246	390
116	247	387
117	249	384
118	251	382
119	253	380
120	255	377
121	257	376
122	259	373
123	260	370
124	262	367
125	264	365
126	266	363
127	268	361
128	271	359
129	273	357
130	274	354
131	276	352
132	278	350
133	280	347
134	283	346
135	285	344
136	287	341
137	289	339
138	291	337
139	293	335
140	295	333
141	298	331
142	300	329
143	302	327
144	305	326
145	307	324
146	311	324
147	313	322
148	315	319
149	317	317
150	319	315
151	321	313
152	324	311
153	326	309
154	328	306
155	330	305
156	332	302
157	334	300
158	336	298
159	338	296
160	340	293
161	342	291
162	344	289
163	346	287
164	348	284
165	350	283
166	352	280
167	354	278
168	357	276
169	359	274
170	361	272
171	363	270
172	365	268
173	367	265
174	369	263
175	371	261
176	373	259
177	375	257
178	377	255
179	379	253
180	381	250
181	384	248
182	385	246
183	387	244
184	389	242
185	391	240
186	393	237
187	396	236
188	398	234
189	400	231
190	401	229
191	403	227
192	405	225
193	407	222
194	410	220
195	412	218
196	414	216
197	416	214
198	418	212
199	420	210
200	422	208
201	425	206
202	426	203
203	428	201
204	429	199
205	432	197
206	434	195
207	435	192
208	438	190
209	440	188
210	442	186
211	444	184
212	446	182
213	448	180
214	451	178
215	453	176
216	455	174
217	457	172
218	459	170
219	461	167
220	464	165
221	466	163
222	468	161
223	470	159
224	472	157
225	474	155
226	476	153
227	478	151
228	480	149
229	482	146
230	484	144
231	486	142
232	488	140
233	491	138
234	493	136
235	495	134
236	498	132
237	500	130
238	502	128
239	504	126
240	506	124
241	508	121
242	510	119
243	513	117
244	515	115
245	517	113
246	519	111
247	521	109
248	522	107
249	525	105
250	527	102
251	528	100
252	530	98
253	532	96
254	534	94
255	536	92
256	538	90
257	540	88
258	542	85
259	544	83
260	546	81
261	548	79
262	549	77
263	552	75
264	554	73
265	556	71
266	558	69
267	560	66
268	562	64
269	564	62
270	567	60
271	568	58
272	570	56
273	572	54
274	574	52
275	576	50
276	579	48
277	581	45
278	583	43
279	585	41
280	587	39
281	589	37
282	592	35
283	594	33
284	596	31
285	599	29
286	602	27
287	604	25
288	606	23
289	608	20
290	609	18
291	612	16
292	614	14
293	616	12
294	618	10
295	620	8
296	622	6
297	624	4
298	627	2
299	629	0
