iter	Logloss
0	0.6891040273
1	0.6849676206
2	0.6810639532
3	0.6775660907
4	0.6742469188
5	0.6704072837
6	0.6668274645
7	0.6632095626
8	0.6593877175
9	0.6557804954
10	0.652265969
11	0.6489087884
12	0.645468795
13	0.6425783307
14	0.6396883161
15	0.6367712529
16	0.6339299817
17	0.6312406942
18	0.6285571488
19	0.6256841379
20	0.6229793711
21	0.6208097011
22	0.618362882
23	0.6161904518
24	0.6141404753
25	0.6118724287
26	0.6092722025
27	0.607008741
28	0.6049521916
29	0.60283271
30	0.6007829262
31	0.598443582
32	0.596294862
33	0.594125847
34	0.5922807232
35	0.5904337081
36	0.5884462026
37	0.5867279146
38	0.585169508
39	0.5834803836
40	0.5817100955
41	0.5801769728
42	0.5785667329
43	0.5773091811
44	0.5758625296
45	0.5745519119
46	0.5730708557
47	0.5715993421
48	0.5701108056
49	0.5685274842
50	0.5672588642
51	0.5659749912
52	0.5647796157
53	0.5634585275
54	0.5620463162
55	0.5607752917
56	0.559522502
57	0.5583113626
58	0.5571455435
59	0.555863738
60	0.5549568232
61	0.5538509066
62	0.5528606116
63	0.5517625799
64	0.5505536597
65	0.5494262512
66	0.5484618396
67	0.5474116675
68	0.5464429507
69	0.5455414472
70	0.5446708169
71	0.5437791261
72	0.5428046633
73	0.5420870298
74	0.5411293404
75	0.5402153768
76	0.5393447214
77	0.5384140863
78	0.5374299246
79	0.5364995676
80	0.5357104337
81	0.5348336097
82	0.534167979
83	0.5333477172
84	0.5325457289
85	0.5317446473
86	0.5309473002
87	0.5303855059
88	0.5296369039
89	0.5290189229
90	0.5283774925
91	0.5277517862
92	0.5269882371
93	0.5262617113
94	0.5256572637
95	0.5249477585
96	0.524284039
97	0.5236386636
98	0.5229330919
99	0.5223145892
100	0.5216906541
101	0.5210609849
102	0.5205425144
103	0.519910509
104	0.5194283477
105	0.5189565085
106	0.5183028927
107	0.5177829992
108	0.5172196883
109	0.5166881292
110	0.5161761575
111	0.5156023746
112	0.5151269505
113	0.5146826155
114	0.5141274437
115	0.5136152908
116	0.5131382847
117	0.5126354224
118	0.5122128468
119	0.511660227
120	0.5112543695
121	0.5107429968
122	0.5104002025
123	0.510020656
124	0.509500183
125	0.5091297158
126	0.5086675723
127	0.5082855211
128	0.5079292463
129	0.5075471819
130	0.5071351819
131	0.5067326921
132	0.5063777415
133	0.5059959246
134	0.5056201109
135	0.5052773543
136	0.5049366696
137	0.5044874399
138	0.5041735434
139	0.5037950871
140	0.5034402106
141	0.5030498412
142	0.502739387
