iter	Passed	Remaining
0	2	1342
1	5	1320
2	7	1277
3	10	1308
4	13	1295
5	15	1279
6	18	1268
7	20	1266
8	23	1261
9	25	1266
10	28	1262
11	30	1255
12	33	1250
13	35	1247
14	38	1241
15	40	1229
16	43	1225
17	45	1218
18	48	1215
19	50	1213
20	53	1211
21	55	1209
22	58	1204
23	60	1200
24	62	1196
25	65	1189
26	67	1183
27	69	1178
28	72	1172
29	74	1164
30	76	1156
31	78	1151
32	81	1147
33	83	1143
34	85	1135
35	87	1128
36	89	1124
37	91	1118
38	94	1112
39	96	1108
40	98	1103
41	101	1102
42	103	1098
43	105	1096
44	108	1096
45	110	1090
46	112	1086
47	114	1081
48	116	1076
49	119	1072
50	121	1068
51	123	1062
52	125	1059
53	127	1056
54	130	1053
55	132	1050
56	134	1047
57	136	1043
58	139	1039
59	141	1037
60	143	1033
61	145	1030
62	148	1026
63	150	1022
64	152	1020
65	154	1015
66	156	1011
67	158	1007
68	160	1003
69	162	999
70	165	997
71	167	992
72	169	988
73	171	985
74	173	982
75	175	980
76	178	980
77	180	978
78	183	977
79	185	975
80	188	974
81	190	969
82	192	967
83	195	966
84	197	963
85	199	962
86	202	959
87	204	958
88	206	954
89	208	951
90	211	949
91	213	945
92	215	942
93	217	939
94	219	937
95	222	935
96	224	933
97	226	930
98	228	927
99	231	924
100	233	922
101	235	918
102	237	916
103	239	913
104	242	910
105	244	907
106	246	904
107	248	901
108	250	898
109	252	895
110	255	893
111	256	889
112	258	886
113	261	884
114	263	881
115	265	878
116	267	875
117	269	873
118	271	870
119	274	868
120	276	866
121	278	863
122	280	860
123	282	858
124	285	856
125	287	853
126	289	851
127	292	849
128	294	846
129	296	843
130	298	841
131	301	839
132	303	836
133	305	834
134	307	831
135	309	828
136	311	825
137	313	823
138	315	820
139	318	819
140	321	817
141	323	814
142	325	812
143	327	810
144	329	807
145	332	805
146	334	803
147	336	800
148	339	799
149	341	796
150	343	794
151	346	792
152	348	789
153	350	787
154	352	785
155	355	782
156	357	780
157	359	777
158	361	775
159	363	773
160	365	770
161	367	767
162	369	764
163	372	762
164	374	759
165	376	757
166	378	755
167	381	752
168	383	750
169	385	747
170	387	745
171	389	742
172	391	740
173	394	738
174	396	736
175	398	734
176	401	732
177	403	729
178	405	727
179	407	724
180	409	722
181	412	719
182	414	717
183	416	715
184	418	712
185	420	709
186	423	708
187	425	706
188	427	703
189	429	701
190	432	699
191	434	696
192	436	694
193	438	692
194	441	689
195	443	687
196	445	685
197	448	683
198	450	681
199	453	679
200	455	678
201	458	676
202	461	674
203	463	672
204	464	668
205	467	666
206	468	663
207	470	660
208	472	658
209	474	655
210	476	652
211	478	650
212	480	647
213	483	645
214	485	643
215	487	640
216	489	638
217	492	636
218	494	634
219	497	632
220	499	630
221	502	628
222	504	626
223	506	624
224	509	622
225	511	620
226	513	618
227	515	615
228	517	612
229	519	610
230	522	608
231	524	605
232	526	603
233	528	601
234	531	599
235	535	598
236	537	596
237	540	594
238	542	592
239	544	590
240	546	587
241	549	585
242	551	583
243	553	580
244	555	578
245	557	575
246	559	573
247	562	571
248	564	569
249	566	566
250	568	564
251	570	561
252	572	559
253	575	557
254	577	554
255	579	552
256	581	550
257	584	547
258	586	545
259	588	543
260	591	541
261	593	538
262	595	536
263	597	534
264	599	531
265	601	529
266	604	527
267	606	525
268	608	522
269	611	520
270	613	518
271	615	516
272	618	513
273	620	511
274	623	509
275	625	507
276	627	504
277	629	502
278	631	500
279	633	497
280	635	495
281	638	493
282	640	491
283	642	488
284	644	486
285	647	484
286	649	481
287	651	479
288	654	477
289	656	475
290	659	473
291	662	471
292	664	469
293	667	467
294	669	465
295	673	463
296	676	462
297	679	460
298	681	458
299	684	456
300	687	454
301	690	452
302	692	450
303	695	448
304	697	446
305	700	444
306	703	442
307	705	439
308	707	437
309	710	435
310	712	432
311	714	430
312	717	428
313	719	426
314	722	424
315	724	421
316	726	419
317	728	416
318	730	414
319	732	412
320	735	410
321	737	407
322	739	405
323	741	402
324	744	400
325	746	398
326	749	396
327	751	394
328	753	391
329	756	389
330	758	387
331	760	385
332	763	382
333	765	380
334	767	378
335	770	375
336	772	373
337	775	371
338	777	369
339	779	366
340	781	364
341	783	362
342	786	359
343	788	357
344	790	355
345	792	352
346	795	350
347	797	348
348	799	345
349	801	343
350	804	341
351	806	339
352	808	336
353	810	334
354	813	332
355	815	329
356	817	327
357	820	325
358	822	322
359	824	320
360	826	318
361	829	316
362	831	313
363	833	311
364	835	309
365	837	306
366	840	304
367	842	302
368	845	300
369	847	297
370	850	295
371	852	293
372	855	291
373	857	289
374	860	286
375	863	284
376	865	282
377	868	280
378	870	277
379	873	275
380	875	273
381	877	271
382	879	268
383	882	266
384	884	264
385	886	261
386	888	259
387	890	257
388	892	254
389	895	252
390	898	250
391	900	248
392	903	245
393	905	243
394	908	241
395	910	239
396	913	236
397	915	234
398	918	232
399	921	230
400	923	228
401	926	225
402	928	223
403	930	221
404	933	218
405	936	216
406	938	214
407	941	212
408	944	210
409	946	207
410	949	205
411	952	203
412	955	201
413	957	198
414	959	196
415	962	194
416	964	192
417	966	189
418	969	187
419	971	185
420	974	182
421	976	180
422	979	178
423	981	175
424	983	173
425	986	171
426	988	169
427	991	166
428	993	164
429	996	162
430	998	159
431	1000	157
432	1003	155
433	1005	152
434	1007	150
435	1009	148
436	1011	145
437	1013	143
438	1016	141
439	1018	138
440	1020	136
441	1022	134
442	1024	131
443	1027	129
444	1029	127
445	1031	124
446	1034	122
447	1036	120
448	1038	117
449	1040	115
450	1042	113
451	1044	110
452	1046	108
453	1048	106
454	1050	103
455	1053	101
456	1055	99
457	1058	97
458	1060	94
459	1062	92
460	1064	90
461	1067	87
462	1069	85
463	1071	83
464	1073	80
465	1075	78
466	1078	76
467	1080	73
468	1082	71
469	1084	69
470	1086	66
471	1089	64
472	1091	62
473	1093	59
474	1096	57
475	1098	55
476	1100	53
477	1102	50
478	1105	48
479	1107	46
480	1109	43
481	1111	41
482	1113	39
483	1115	36
484	1117	34
485	1120	32
486	1122	29
487	1124	27
488	1126	25
489	1129	23
490	1131	20
491	1133	18
492	1135	16
493	1138	13
494	1140	11
495	1142	9
496	1144	6
497	1146	4
498	1148	2
499	1151	0
